Audio ID,Type,Existing file path,Scene or trigger,Current placeholder type,Required final asset,Required format or looping,Variation count,Animation sync,Replacement priority,Whether replacement can occur without altering gameplay logic,Classification
MUS_MENU,Music,not created,main menu,Silence,Original restrained post-collapse menu theme,Ogg Vorbis seamless loop; 60-120s,1,Menu ambience/light pulse,High,Yes; register and call on scene entry,High
MUS_HAVEN_SAFE,Music,not created,residence calm screens,Silence,Original warm but fragile safe-haven theme,Ogg Vorbis seamless loop; 90-180s,1,Ambient environment loops,High,Yes; visual/audio scene hook only,High
MUS_MERGE_BOARD,Music,not created,merge board,Silence,Original low-fatigue merge-loop music,Ogg Vorbis seamless loop; 120-240s,1,None,Critical,Yes; scene entry/exit only,Critical
SFX_ITEM_LIFT,SFX,assets/audio/sfx/item_lift.wav,merge item drag,Final original cue,Short tactile lift,PCM WAV 22.05kHz stereo,1,Drag lift,High,Yes,Already acceptable
SFX_MERGE_PULL,SFX,assets/audio/sfx/merge_pull_wood.wav,successful construction merge,Final original cue,Wooden draw-in/compression cue,PCM WAV 22.05kHz stereo,1,Merge pull,High,Yes,Already acceptable
SFX_MERGE_HIGH,SFX,assets/audio/sfx/merge_wood_high.wav,construction merge level 5+,Final original cue,Layered high-level wood construction reward,PCM WAV 22.05kHz stereo,1,High-level glow/particles,High,Yes,Already acceptable
SFX_PRODUCER_EMPTY,SFX,assets/audio/sfx/producer_empty.wav,tool crate exhausted response,Final original cue,Dry empty knock,PCM WAV 22.05kHz stereo,1,Empty feedback,Medium,Yes,Already acceptable
SFX_PRODUCER_RECHARGE,SFX,assets/audio/sfx/producer_recharge.wav,tool crate cooldown response,Final original cue,Mechanical recharge shimmer,PCM WAV 22.05kHz stereo,1,Recharge feedback,Medium,Yes,Already acceptable
MUS_WORLD_MAP,Music,not created,world map,Silence,Original exploratory map underscore,Ogg Vorbis seamless loop; 90-180s,1,Route reveal optional,High,Yes; scene entry/exit only,High
MUS_SCAVENGING,Music,not created,scavenging preparation/encounter,Silence,Original cautious scavenging pulse,Ogg Vorbis seamless loop; 90-180s,1,Encounter state transitions,Critical,Yes; scene/state hook only,Critical
MUS_TENSION,Music,not created,threat approach/story tension,Silence,Original rising tension bed,Ogg Vorbis loop with clean exit; 45-90s,1,Threat/choice transition,High,Yes; story/visual state hook only,High
MUS_DEFENCE,Music,not created,defence encounter,Silence,Original percussive defence loop,Ogg Vorbis seamless loop; 60-120s,1,Hollow attacks/traps/outcome,Critical,Yes; defence visual state hook only,Critical
MUS_STORY_EMOTIONAL,Music,not created,key dialogue,Silence,Original restrained emotional underscore,Ogg Vorbis seamless or stemmed; 90-180s,1,Dialogue beat transitions,High,Yes; dialogue ID mapping only,High
MUS_SIGNAL_KEEPER,Music,not created,Signal Keeper dialogue,Silence,Original mysterious radio/signal motif,Ogg Vorbis seamless loop; 60-120s,1,Radio pulse/static,High,Yes; dialogue ID mapping only,High
