"Item ID","Item name","Chain","Chain ID","Level","Rarity","Current placeholder path","Required final filename","Required dimensions","Transparency requirements","Producer source","Tasks using the item","Other implemented consumers","Integration status"
"clothing_1","Fabric Scrap","Clothing and armour","clothing","1","Common","res://assets/items/clothing/level_1.png","res://assets/items/clothing/level_1.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","clothing_producer","","","Final integrated"
"clothing_2","Patched Clothing","Clothing and armour","clothing","2","Common","res://assets/items/clothing/level_2.png","res://assets/items/clothing/level_2.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","clothing_producer","","data/scavenging/clothing_outlet.tres","Final integrated"
"clothing_3","Workwear Set","Clothing and armour","clothing","3","Common","res://assets/items/clothing/level_3.png","res://assets/items/clothing/level_3.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","clothing_producer","q_clear_patient_ward; q_salvage_cell_block; q_salvage_gymnasium","data/quests/q_clear_patient_ward.tres; data/quests/q_salvage_cell_block.tres; data/quests/q_salvage_gymnasium.tres; data/scavenging/clothing_outlet.tres","Final integrated"
"clothing_4","Reinforced Jacket","Clothing and armour","clothing","4","Uncommon","res://assets/items/clothing/level_4.png","res://assets/items/clothing/level_4.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","clothing_producer","","","Final integrated"
"clothing_5","Survival Outfit","Clothing and armour","clothing","5","Uncommon","res://assets/items/clothing/level_5.png","res://assets/items/clothing/level_5.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","clothing_producer","","","Final integrated"
"clothing_6","Protective Armour Set","Clothing and armour","clothing","6","Rare","res://assets/items/clothing/level_6.png","res://assets/items/clothing/level_6.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","clothing_producer","","","Final integrated"
"clothing_7","Expedition Gear","Clothing and armour","clothing","7","Rare","res://assets/items/clothing/level_7.png","res://assets/items/clothing/level_7.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","clothing_producer","","","Final integrated"
"clothing_producer","Abandoned Wardrobe","Clothing and armour","clothing","0","Uncommon","res://assets/items/clothing/producer.png","res://assets/items/clothing/producer.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Starter producer; produces clothing_1","","","Final integrated"
"coin_reward_1","Loose Change","Coins and currencies","coin_reward","1","Common","res://assets/items/coin_reward/level_1.png","res://assets/items/coin_reward/level_1.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","data/scavenging/clothing_outlet.tres; data/scavenging/electronics_workshop.tres; data/scavenging/roadside_wreck.tres","Final integrated"
"coin_reward_2","Coin Pouch","Coins and currencies","coin_reward","2","Common","res://assets/items/coin_reward/level_2.png","res://assets/items/coin_reward/level_2.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","data/scavenging/abandoned_grocery_store.tres; data/scavenging/petrol_station.tres; data/scavenging/police_checkpoint.tres; data/scavenging/radio_relay_station.tres; data/scavenging/warehouse_depot.tres","Final integrated"
"coin_reward_3","Coin Stack","Coins and currencies","coin_reward","3","Common","res://assets/items/coin_reward/level_3.png","res://assets/items/coin_reward/level_3.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"coin_reward_4","Cash Box","Coins and currencies","coin_reward","4","Uncommon","res://assets/items/coin_reward/level_4.png","res://assets/items/coin_reward/level_4.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"coin_reward_5","Strongbox","Coins and currencies","coin_reward","5","Uncommon","res://assets/items/coin_reward/level_5.png","res://assets/items/coin_reward/level_5.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"coin_reward_6","Vault Pouch","Coins and currencies","coin_reward","6","Rare","res://assets/items/coin_reward/level_6.png","res://assets/items/coin_reward/level_6.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"coin_reward_7","Treasure Chest","Coins and currencies","coin_reward","7","Rare","res://assets/items/coin_reward/level_7.png","res://assets/items/coin_reward/level_7.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"construction_1","Scrap Wood","Construction","construction","1","Common","res://assets/items/construction/level_1.png","res://assets/items/construction/level_1.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","construction_producer","","","Final integrated"
"construction_2","Wood Offcut","Construction","construction","2","Common","res://assets/items/construction/level_2.png","res://assets/items/construction/level_2.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","construction_producer","q_secure_front_door","data/quests/q_secure_front_door.tres; data/scavenging/farm_shed.tres; data/scavenging/warehouse_depot.tres","Final integrated"
"construction_3","Timber Strip","Construction","construction","3","Common","res://assets/items/construction/level_3.png","res://assets/items/construction/level_3.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","construction_producer","q_board_kitchen_windows; q_board_office_windows; q_clear_er_reception; q_clear_main_hall; q_reinforce_sally_port","data/quests/q_board_kitchen_windows.tres; data/quests/q_board_office_windows.tres; data/quests/q_clear_er_reception.tres; data/quests/q_clear_main_hall.tres; data/quests/q_reinforce_sally_port.tres; data/scavenging/farm_shed.tres; data/scavenging/warehouse_depot.tres; data/vehicles/delivery_van.tres","Final integrated"
"construction_4","Wooden Board","Construction","construction","4","Common","res://assets/items/construction/level_4.png","res://assets/items/construction/level_4.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","construction_producer","q_build_rear_escape; q_reinforce_playground_fence","data/quests/q_build_rear_escape.tres; data/quests/q_reinforce_playground_fence.tres; data/vehicles/delivery_van.tres","Final integrated"
"construction_5","Reinforced Plank Bundle","Construction","construction","5","Uncommon","res://assets/items/construction/level_5.png","res://assets/items/construction/level_5.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","construction_producer","q_clear_drainage_tunnel; q_reinforce_barn","data/quests/q_clear_drainage_tunnel.tres; data/quests/q_reinforce_barn.tres; data/vehicles/delivery_van.tres","Final integrated"
