Icon ID,Destination,Current file,Current presentation,Required final artwork,Dimensions,Required states,Transparency,Integration status
nav_haven,Haven,res://assets/ui/icons/final/icon_haven.png,Existing safe-house emblem,Original weathered farmhouse haven emblem with material depth and warm window light,256x256 RGBA,"Normal; Pressed; Selected; Disabled; Focused; Notification; Locked",Transparent background,Existing integration retained; visual approval pending after current gate
nav_merge,Merge,res://assets/ui/icons/final/icon_merge.png,Existing workbench-tool emblem,Original timber-and-tool merge emblem with material depth and warm edge light,256x256 RGBA,"Normal; Pressed; Selected; Disabled; Focused; Notification; Locked",Transparent background,Existing integration retained; visual approval pending after current gate
nav_map,Map,res://assets/ui/icons/final/icon_map.png,Existing folded-map emblem,Original weathered folded road map with marked route and dimensional folds,256x256 RGBA,"Normal; Pressed; Selected; Disabled; Focused; Notification; Locked",Transparent background,Existing integration retained; visual approval pending after current gate
nav_survivors,Survivors,res://assets/ui/icons/final/icon_survivors.png,Existing survivor-group emblem,Original layered survivor bust emblem with depth lighting and distinct silhouettes,256x256 RGBA,"Normal; Pressed; Selected; Disabled; Focused; Notification; Locked",Transparent background,Existing integration retained; visual approval pending after current gate
nav_inventory,Inventory,res://assets/ui/icons/final/icon_inventory.png,Existing field-pack emblem,Original weathered survival pack with buckles pockets and dimensional lighting,256x256 RGBA,"Normal; Pressed; Selected; Disabled; Focused; Notification; Locked",Transparent background,Existing integration retained; visual approval pending after current gate
map_abandoned_grocery_store,Scavenge - Abandoned Grocery Store,res://assets/ui/world_map/markers/runtime/abandoned_grocery_store.png,Repeated generic crate replaced,Illustrated abandoned grocery storefront with supply salvage detail,256x256 RGBA,"Available; Focused; Pressed",Transparent background,Final integrated
map_petrol_station,Scavenge - Petrol Station,res://assets/ui/world_map/markers/runtime/petrol_station.png,Repeated generic crate replaced,Illustrated damaged roadside pump and canopy assembly,256x256 RGBA,"Available; Focused; Pressed",Transparent background,Final integrated
map_farm_shed,Scavenge - Farm Shed,res://assets/ui/world_map/markers/runtime/farm_shed.png,Repeated generic crate replaced,Illustrated patched farm shed and salvage tools,256x256 RGBA,"Available; Focused; Pressed",Transparent background,Final integrated
map_roadside_wreck,Scavenge - Roadside Wreck,res://assets/ui/world_map/markers/runtime/roadside_wreck.png,Repeated generic crate replaced,Illustrated wrecked survivor vehicle and recovery tools,256x256 RGBA,"Available; Focused; Pressed",Transparent background,Final integrated
map_medical_clinic,Scavenge - Medical Clinic,res://assets/ui/world_map/markers/runtime/medical_clinic.png,Repeated generic crate replaced,Illustrated reinforced clinic entrance and medical bag,256x256 RGBA,"Available; Focused; Pressed",Transparent background,Final integrated
map_police_checkpoint,Scavenge - Police Checkpoint,res://assets/ui/world_map/markers/runtime/police_checkpoint.png,Repeated generic crate replaced,Illustrated barrier shield sandbags and warning beacon,256x256 RGBA,"Available; Focused; Pressed",Transparent background,Final integrated
map_electronics_workshop,Scavenge - Electronics Workshop,res://assets/ui/world_map/markers/runtime/electronics_workshop.png,Repeated generic crate replaced,Illustrated radio and electronics repair workbench,256x256 RGBA,"Available; Focused; Pressed",Transparent background,Final integrated
map_clothing_outlet,Scavenge - Clothing Outlet,res://assets/ui/world_map/markers/runtime/clothing_outlet.png,Repeated generic crate replaced,Illustrated survivor clothing rack and field pack,256x256 RGBA,"Available; Focused; Pressed",Transparent background,Final integrated
map_warehouse_depot,Scavenge - Warehouse Depot,res://assets/ui/world_map/markers/runtime/warehouse_depot.png,Repeated generic crate replaced,Illustrated loading bay pallets and hand trolley,256x256 RGBA,"Available; Focused; Pressed",Transparent background,Final integrated
map_radio_relay_station,Scavenge - Radio Relay Station,res://assets/ui/world_map/markers/runtime/radio_relay_station.png,Repeated generic crate replaced,Illustrated emergency aerial radio and cable station,256x256 RGBA,"Available; Focused; Pressed; Story locked",Transparent background,Final integrated
