Asset ID,Existing file path,Scene using it,Current placeholder type,Required final asset,Required dimensions,Transparency requirements,Visual states,Required separated layers,Animation requirements,Audio requirements,Replacement priority,Whether replacement can occur without altering gameplay logic,Classification
BRAND_LOGO_SET,assets/branding/logo/*.svg,scenes/splash/splash.tscn,Original integrated vector art,Retain original logo set; optional distressed texture refinement,Existing vector masters,Transparent where applicable,Dark/light/stacked/icon/monochrome,None,None,Optional logo sting,Already acceptable,Yes,Already acceptable
BRAND_APP_ICON,icon.svg,project.godot config/icon,Original integrated vector art,Retain original launcher icon and export density variants,128x128 vector master plus Android densities,No for launcher master,Adaptive foreground/background if Android export requires,Foreground and background for adaptive icon,None,None,Already acceptable,Yes,Already acceptable
BRAND_NOTIFICATION_ICON,assets/branding/app_icon/notification_icon.svg,Android export only,Original unintegrated vector art,Wire existing monochrome notification icon to export preset,128x128 vector master,Yes,Android tinted state,None,None,Notification SFX separate,Minor,Yes export configuration only,Already acceptable
UI_SPLASH,scenes/splash/splash.tscn; scenes/splash/splash.gd,scenes/splash/splash.tscn,Plain ColorRect plus original logo,Finished branded splash composition using current logo,720x1280 runtime; 1440x2560 source backdrop,No for backdrop; logo retains alpha,Fade in/hold/fade out,Backdrop; logo; optional dust/light overlay,Existing fade refined,Optional original logo sting,Medium,Yes,Medium
MERGE_WORKBENCH,assets/ui/merge_board/survival_workbench.jpg,scenes/merge_board/merge_board.tscn,Final painterly raster,Reinforced survival workbench,720x1556,No,Normal,None,Ambient UI only,Board ambience optional,Critical,Yes,Already acceptable
MERGE_CELL_SET,assets/ui/merge_board/cell_*.png,scripts/merge/board_cell.gd,Final textured UI set,Material grid cells,128x128,Yes,Normal/valid/invalid/locked,None,Pulse and invalid feedback,Item lift/invalid cues,High,Yes,Already acceptable
MERGE_CONSTRUCTION_CHAIN,assets/items/construction/level_1.png; assets/items/construction/level_2.png; assets/items/construction/level_3.png; assets/items/construction/level_4.png; assets/items/construction/level_5.png; assets/items/construction/level_6.png; assets/items/construction/level_7.png; assets/items/construction/level_8.png,scenes/merge_board/merge_board.tscn,Final transparent illustrated items,Complete eight-level construction chain,256x256 each,Yes,Levels 1-8,None,Drag/merge/result feedback,Wood merge cues,Critical,Yes,Already acceptable
MERGE_TOOL_CRATE,assets/items/construction/producer.png; assets/items/construction/producer_selected.png; assets/items/construction/producer_active.png; assets/items/construction/producer_low_charge.png; assets/items/construction/producer_empty.png; assets/items/construction/producer_recharge.png; assets/items/construction/producer_upgraded.png,scenes/merge_board/merge_board.tscn,Final transparent illustrated producer,Salvaged Tool Crate complete state set,256x256 each,Yes,Normal/selected/active/low-charge/empty/recharge/upgraded,None,Activation/bounce/failure/recharge,Producer tool/empty/recharge cues,Critical,Yes,Already acceptable
MERGE_OVERLAYS,assets/ui/merge_board/selection_frame.png; assets/ui/merge_board/lock_plate.png; assets/ui/merge_board/cobweb.png; assets/ui/merge_board/reward_glow.png; assets/ui/merge_board/wood_chip.png; assets/ui/merge_board/dust_soft.png,scripts/merge/item_view.gd; scenes/merge_board/merge_board.gd,Final transparent UI/VFX art,Selection/lock/cobweb/reward effect set,32x32 to 128x128,Yes,Selected/locked/cobweb/reward,None,Pulse/burst/particle motion,Merge cues,High,Yes,Already acceptable
MERGE_STORAGE,assets/ui/merge_board/storage_slot.png,scenes/ui/storage_panel.tscn,Final textured UI art,Workbench storage drawer and slots,128x128 tile,Yes,Open/closed via existing panel,None,Existing drawer show/hide,UI tap,High,Yes,Already acceptable
ENV_MAIN_MENU,scenes/main_menu/main_menu_background.gd,scenes/main_menu/main_menu.tscn,Procedural gradient/polygon/circle illustration,Original cinematic Haven-gate or safe-house menu environment,1440x2560 source; 720x1280 runtime,No,Idle; continue-enabled; warning/event variant,Sky; distance; structure; silhouettes; foreground; lighting; weather,Parallax; cloud drift; light flicker; subtle threat silhouettes,menu music; wind; distant Hollow ambience,Critical,Yes; retain menu signals/buttons,Critical
ENV_HOLLOW_CREEK,scenes/haven/haven_background.gd,scenes/haven/haven.tscn,Flat geometric procedural farmhouse,Layered illustrated Hollow Creek Farmhouse progression,1440x2560 source; 720x1280 runtime,Layer PNGs require alpha,Stages 1-5 plus local damage/completed states,Sky; distance; structure; furniture; damage; hotspots; characters; foreground; lighting; weather; particles,Parallax; rain/clouds; window light; repair transitions,wind; rain; room tone; repair foley; task_complete,Critical,Yes; keep hotspot coordinates and state lookups,Critical
ENV_REDWATER,scenes/redwater/redwater_background.gd,scenes/redwater/redwater.tscn,Flat geometric procedural service station,Layered illustrated Redwater Service Station progression,1440x2560 source; 720x1280 runtime,Layer PNGs require alpha,Abandoned; repaired; defence-ready; defended,Sky; distance; store; garage; canopy/pumps; damage; hotspots; foreground; lighting; weather,Sign/light flicker; drifting dust; repair transitions,wind; forecourt ambience; generator; fuel pumps; repair foley,Critical,Yes; keep residence and hotspot IDs,Critical
