Asset ID,Mission ID,Location,Previous presentation,Final source artwork,Runtime artwork,Source dimensions,Runtime dimensions,Perspective,Visual states,Character layer,Primary ambience,Secondary ambience,Integration status,Gameplay logic altered
SCAV_LOC_001,abandoned_grocery_store,Abandoned Grocery Store,"Text and flat charcoal panel only",assets/art/scavenging/source/abandoned_grocery_store_master.png,assets/art/scavenging/runtime/abandoned_grocery_store.png,1536x1024,1024x683,"Three-quarter elevated","Assessment; encounter; success; failure","Selected survivor scavenging pose",abandoned_building,rain,Integrated and verified,No
SCAV_LOC_002,clothing_outlet,Clothing Outlet,"Text and flat charcoal panel only",assets/art/scavenging/source/clothing_outlet_master.png,assets/art/scavenging/runtime/clothing_outlet.png,1536x1024,1024x683,"Three-quarter elevated","Assessment; encounter; success; failure","Selected survivor scavenging pose",abandoned_building,wind,Integrated and verified,No
SCAV_LOC_003,electronics_workshop,Electronics Workshop,"Text and flat charcoal panel only",assets/art/scavenging/source/electronics_workshop_master.png,assets/art/scavenging/runtime/electronics_workshop.png,1536x1024,1024x683,"Three-quarter elevated","Assessment; encounter; success; failure","Selected survivor scavenging pose",abandoned_building,electrical_hum,Integrated and verified,No
SCAV_LOC_004,farm_shed,Farm Shed,"Text and flat charcoal panel only",assets/art/scavenging/source/farm_shed_master.png,assets/art/scavenging/runtime/farm_shed.png,1536x1024,1024x683,"Three-quarter elevated","Assessment; encounter; success; failure","Selected survivor scavenging pose",forest,wind,Integrated and verified,No
SCAV_LOC_005,medical_clinic,Medical Clinic,"Text and flat charcoal panel only",assets/art/scavenging/source/medical_clinic_master.png,assets/art/scavenging/runtime/medical_clinic.png,1536x1024,1024x683,"Three-quarter elevated","Assessment; encounter; success; failure","Selected survivor scavenging pose",rain,distant_hollow,Integrated and verified,No
SCAV_LOC_006,petrol_station,Petrol Station,"Text and flat charcoal panel only",assets/art/scavenging/source/petrol_station_master.png,assets/art/scavenging/runtime/petrol_station.png,1536x1024,1024x683,"Three-quarter elevated","Assessment; encounter; success; failure","Selected survivor scavenging pose",redwater_station,road,Integrated and verified,No
SCAV_LOC_007,police_checkpoint,Police Checkpoint,"Text and flat charcoal panel only",assets/art/scavenging/source/police_checkpoint_master.png,assets/art/scavenging/runtime/police_checkpoint.png,1536x1024,1024x683,"Three-quarter elevated","Assessment; encounter; success; failure","Selected survivor scavenging pose",road,wind,Integrated and verified,No
SCAV_LOC_008,radio_relay_station,Radio Relay Station,"Text and flat charcoal panel only",assets/art/scavenging/source/radio_relay_station_master.png,assets/art/scavenging/runtime/radio_relay_station.png,1536x1024,1024x683,"Three-quarter elevated","Assessment; encounter; success; failure","Selected survivor scavenging pose",wind,electrical_hum,Integrated and verified,No
SCAV_LOC_009,roadside_wreck,Roadside Wreck,"Text and flat charcoal panel only",assets/art/scavenging/source/roadside_wreck_master.png,assets/art/scavenging/runtime/roadside_wreck.png,1536x1024,1024x683,"Three-quarter elevated","Assessment; encounter; success; failure","Selected survivor scavenging pose",road,forest,Integrated and verified,No
SCAV_LOC_010,warehouse_depot,Warehouse Depot,"Text and flat charcoal panel only",assets/art/scavenging/source/warehouse_depot_master.png,assets/art/scavenging/runtime/warehouse_depot.png,1536x1024,1024x683,"Three-quarter elevated","Assessment; encounter; success; failure","Selected survivor scavenging pose",abandoned_building,distant_hollow,Integrated and verified,No
