Animation ID,Object/Scene,Existing file path,Current placeholder type,Required final animation,Required dimensions or format,Visual states,Required separated layers,Audio requirements,Existing trigger,Replacement priority,Whether replacement can occur without altering gameplay logic,Classification
ANIM_SPLASH_FADE,Splash logo,scenes/splash/splash.gd,Implemented alpha Tween,Refine current fade with subtle light/dust while retaining skip,Godot Tween plus optional 720x1280 overlay,Fade-in/hold/fade-out,Logo; light; particles,logo sting optional,Yes app boot/tap skip,Medium,Yes,Medium
ANIM_SCENE_FADE,Global scene transition,autoload/scene_router.gd,Implemented full-screen ColorRect Tween,Retain and skin fade/wipe only if performance-safe,Godot Tween/ShaderRect,Normal/reduced motion,Transition overlay,ui transition optional,Yes every SceneRouter transition,Medium,Yes,Medium
ANIM_MENU_GLOW,Main menu,scenes/main_menu/main_menu_background.gd,Procedural per-frame circle pulse,Layered menu cinemagraph with light/cloud/threat motion,Layered 720x1280 scene or shader,Idle/reduced motion,Sky; clouds; light; silhouettes; foreground,menu ambience,Yes menu process,Critical,Yes visual replacement,Critical
ANIM_ITEM_SELECT,Merge item,scenes/merge_board/merge_board.gd,Implemented scale Tween,Retain with polished squash/highlight and reduced-motion fallback,Godot Tween,Selected/deselected,Item; highlight,board select,Yes item selection,High,Yes,High
ANIM_MERGE_DRAG_LIFT,Merge item,scripts/merge/item_view.gd,Final Tween/drag preview,Elevated drag ghost and source fade,Runtime Control,Idle/dragged,Item; shadow,item_lift,Existing drag event,High,Yes,Already acceptable
ANIM_MERGE_TARGET,Board cell,scripts/merge/board_cell.gd,Final textured pulse,Valid olive pulse and invalid rust signal,Runtime StyleBoxTexture,Normal/valid/invalid,Cell texture,merge_invalid,Existing can-drop event,High,Yes,Already acceptable
ANIM_MERGE_SEQUENCE,Construction items,scenes/merge_board/merge_board.gd,Final Tween and textured particles,Pull/compression/expansion/contact bounce/wood/dust,Runtime Control and alpha textures,Base/high-level,Two source items; result; glow; chips; dust,merge_pull/merge/merge_high,Existing try_merge result,Critical,Yes,Already acceptable
ANIM_SHARED_UI,All interactive screens,scripts/ui/ui_animation_director.gd,Integrated reusable director,Press/focus/reveal/resource/reward/error/unlock/tutorial feedback,Runtime Control/Tween,Normal/pressed/focused/reduced motion,Live controls; transient overlay,Existing UI SFX,Existing EventBus and Button signals,Critical,Yes,Already acceptable
ANIM_AMBIENT_GENERIC,Residence environment backgrounds,scripts/vfx/ambient_vfx.gd,Integrated pooled procedural overlay,Rain/fog/dust/sparks/cloud drift/firelight with visibility gating,Runtime CanvasItem draw calls,Storm/dust/fog/industrial/reduced motion,Environment overlay only,Residence ambience,Existing scene visibility and settings,High,Yes,Already acceptable
ANIM_REPAIR_SEQUENCE,Residence hotspots,scripts/residence/hotspot_visual.gd,Integrated post-result sequence,Focus/material arrival/work/install/inspection/reward/return,Runtime Control/Tween,Incomplete/completed/reduced motion,Hotspot; ring; item overlay; particles,repair_whoosh/task_complete,Existing task completed callback,Critical,Yes,Already acceptable
